model_name,display_name,age_years,cate_days,cate_bootstrap_se,cate_ci_lower,cate_ci_upper
final_conditional_x14,Final Conditional (All 14 in X),12.0,-11.262929999463164,16.597303856106766,-27.432250145354143,36.163155150070665
final_conditional_x14,Final Conditional (All 14 in X),13.0,-11.03442284249602,16.576593768104424,-27.57074376233681,35.546392920096764
final_conditional_x14,Final Conditional (All 14 in X),14.0,-10.694810819670076,16.54543960270536,-27.740812391643953,34.67436571644683
final_conditional_x14,Final Conditional (All 14 in X),15.0,-10.53414991114698,16.4797156657784,-27.888058695141837,35.26688809740718
final_conditional_x14,Final Conditional (All 14 in X),16.0,-10.387929235322128,16.413940948261317,-28.030992710889983,34.92609320307733
final_conditional_x14,Final Conditional (All 14 in X),17.0,-9.716108935079829,16.390051467597388,-28.23633281794503,35.21760543209405
final_conditional_x14,Final Conditional (All 14 in X),18.0,-8.92055589783208,16.369279668316942,-28.69679131443397,33.83761708748677
final_conditional_x14,Final Conditional (All 14 in X),19.0,-8.463722249355582,16.25794584194266,-28.902937292859836,33.70635640131061
final_conditional_x14,Final Conditional (All 14 in X),20.0,-8.013308739127735,16.139749206935665,-29.01412862659267,33.666561666790955
final_conditional_x14,Final Conditional (All 14 in X),21.0,-7.657743480572129,16.18347655656469,-29.170029322393052,33.82248629630712
final_conditional_x14,Final Conditional (All 14 in X),22.0,-7.453812724499501,16.10583956663106,-29.23096291930764,33.954313633567956
final_conditional_x14,Final Conditional (All 14 in X),23.0,-7.028553321703228,16.106772843525636,-29.46663846912108,34.25957849851273
final_conditional_x14,Final Conditional (All 14 in X),24.0,-6.159390053357271,16.06674935522978,-28.97407193514581,33.93199401572629
final_conditional_x14,Final Conditional (All 14 in X),25.0,-5.164532945157197,15.96991448640168,-28.671492735274924,33.76776411807253
final_conditional_x14,Final Conditional (All 14 in X),26.0,-3.541959993919995,15.747846672934283,-25.042349878035004,36.16114466514702
final_conditional_x14,Final Conditional (All 14 in X),27.0,-2.8326064912767346,15.57586442765644,-25.587763079406432,36.5644725935371
final_conditional_x14,Final Conditional (All 14 in X),28.0,-2.132333443892198,15.46924521638906,-24.73396195574273,36.29543428744723
final_conditional_x14,Final Conditional (All 14 in X),29.0,-1.9387894871668072,15.5035603131728,-26.152931036094184,36.30156631833876
final_conditional_x14,Final Conditional (All 14 in X),30.0,-1.382414760972237,15.49779072781645,-25.698802646305676,36.47693462759713
final_conditional_x14,Final Conditional (All 14 in X),31.0,-1.0334019577415994,15.472415972881729,-25.69018612102089,37.98166590546787
final_conditional_x14,Final Conditional (All 14 in X),32.0,-0.2515175145655637,15.427990277053771,-25.598214281146788,38.23393505703898
final_conditional_x14,Final Conditional (All 14 in X),33.0,0.4986309173524076,15.347667256983176,-27.42462160078472,36.61783654528312
final_conditional_x14,Final Conditional (All 14 in X),34.0,1.969570663873658,15.28182337847241,-25.942087626597136,37.96225227822214
final_conditional_x14,Final Conditional (All 14 in X),35.0,3.246953951064473,15.255909756586538,-25.237350324401916,37.173858761542775
final_conditional_x14,Final Conditional (All 14 in X),36.0,3.6340671039084658,15.174931273047136,-24.84243649604384,35.967537838974444
final_conditional_x14,Final Conditional (All 14 in X),37.0,4.27700948600319,15.246657000455787,-24.312900863911267,37.20030478637344
final_conditional_x14,Final Conditional (All 14 in X),38.0,5.235888888777657,15.19992288363233,-23.481943582086544,36.944204379341464
final_conditional_x14,Final Conditional (All 14 in X),39.0,5.725632852381642,15.220496665713991,-22.75543111995477,36.5162679785788
final_conditional_x14,Final Conditional (All 14 in X),40.0,7.077747484265895,15.034124672586094,-20.95233506232756,36.91317043428913
final_conditional_x14,Final Conditional (All 14 in X),41.0,6.5465606285784315,14.972497542584344,-20.88223913236047,35.725632530019425
final_conditional_x14,Final Conditional (All 14 in X),42.0,6.769845773254186,15.004918031704827,-20.524490218380343,35.53259880659917
final_conditional_x14,Final Conditional (All 14 in X),43.0,7.1480575323407125,15.232181469927436,-20.38144785934701,35.53534239054397
final_conditional_x14,Final Conditional (All 14 in X),44.0,7.625528989305988,15.468087865459404,-20.081985661944753,35.31702485929237
final_conditional_x14,Final Conditional (All 14 in X),45.0,8.262869023389609,15.547513017750225,-19.953127531731603,36.62885734864755
final_conditional_x14,Final Conditional (All 14 in X),46.0,8.373733703393091,15.492105405044573,-19.948949989895144,35.30966372066063
final_conditional_x14,Final Conditional (All 14 in X),47.0,8.33353620562982,15.471466199107516,-20.371983732122775,35.91978508012415
final_conditional_x14,Final Conditional (All 14 in X),48.0,8.341199615209653,15.501195320593611,-20.375976029537735,38.03693993047347
final_conditional_x14,Final Conditional (All 14 in X),49.0,8.276298553116453,15.486015453645225,-20.269589244170135,37.54778008497033
final_conditional_x14,Final Conditional (All 14 in X),50.0,8.13993847185431,15.51002021927857,-20.469361380964504,37.92522453195237
final_conditional_x14,Final Conditional (All 14 in X),51.0,8.189673280263811,15.53645707837198,-20.394081546088387,38.19248692834984
final_conditional_x14,Final Conditional (All 14 in X),52.0,8.30860802113717,15.535401942176652,-20.52701523744934,38.24471563700333
final_conditional_x14,Final Conditional (All 14 in X),53.0,8.301476554481976,15.543790320401962,-20.54617747345821,38.97371301945133
final_conditional_x14,Final Conditional (All 14 in X),54.0,8.277187349946171,15.554346450572082,-20.454754872842873,39.01078029781797
final_conditional_x14,Final Conditional (All 14 in X),55.0,8.255902146103288,15.56348344161329,-20.229739199353748,39.238378503621426
final_conditional_x14,Final Conditional (All 14 in X),56.0,8.18411689668616,15.593354060912024,-20.02629032558962,39.35233553409153
final_conditional_x14,Final Conditional (All 14 in X),57.0,8.13699529800622,15.64398173075242,-20.098435744162007,39.4827409240995
final_conditional_x14,Final Conditional (All 14 in X),58.0,8.153691377477113,15.66997570825344,-20.0775799797353,39.52646287367152
final_conditional_x14,Final Conditional (All 14 in X),59.0,8.101459820059686,15.687410072254488,-19.87350578080593,40.04009458881617
final_conditional_x14,Final Conditional (All 14 in X),60.0,8.025665854376392,15.75959087315624,-19.477103577344028,40.55213195731088
final_conditional_x14,Final Conditional (All 14 in X),61.0,8.01603732552914,15.78204542573712,-19.369109851028732,40.6095911689619
final_conditional_x14,Final Conditional (All 14 in X),62.0,7.965305561335798,15.801912356751526,-19.157342144545105,41.165234355065635
final_conditional_x14,Final Conditional (All 14 in X),63.0,7.936706928927925,15.840136153057935,-19.068174832537917,41.03951806001478
final_conditional_x14,Final Conditional (All 14 in X),64.0,7.980826813350075,15.86260418212106,-19.233259515520775,40.83287383082346
final_conditional_x14,Final Conditional (All 14 in X),65.0,7.927843273853237,15.90335299306018,-19.29069778902183,40.782641761825545
final_conditional_x14,Final Conditional (All 14 in X),66.0,8.024628883590747,15.951749633651144,-19.129552312883565,40.86819615320787
final_conditional_x14,Final Conditional (All 14 in X),67.0,8.042875793081803,15.964548585627767,-19.2519978962322,40.9021530809874
final_conditional_x14,Final Conditional (All 14 in X),68.0,8.010690025276194,15.975734769789105,-21.239912889600475,40.93601394883182
final_conditional_x14,Final Conditional (All 14 in X),69.0,8.010787212016178,16.02537922906036,-21.501475620921504,41.04470967846878
final_conditional_x14,Final Conditional (All 14 in X),70.0,8.117156065400213,16.050721815391903,-21.34853492126459,41.16897494198338
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",12.0,-7.8117210481790815,15.987063006656658,-26.225006551409752,37.28748177574415
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",13.0,-7.791708025284403,15.967074916872132,-26.31712932795392,37.257850945384256
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",14.0,-7.447041957325542,15.949035009743069,-26.33474441109659,37.19068574425456
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",15.0,-7.295054737056772,15.947237552918928,-26.290856325965535,37.24808927433978
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",16.0,-7.178109028816876,15.935003296591406,-26.90867246273936,37.31529411013208
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",17.0,-6.614049267159956,15.844485785695124,-27.416830314038304,37.16399256423812
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",18.0,-6.3881914766947006,15.733130810812472,-25.70506714239697,37.20017502140678
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",19.0,-6.1319425999159245,15.662898855648686,-25.17221998511732,37.0330731737252
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",20.0,-5.689619312798781,15.623595784815878,-24.914581108903857,37.27158668163083
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",21.0,-5.353411773151223,15.631541126137607,-24.873370671379423,37.12173641799032
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",22.0,-5.296641679781912,15.607691921438809,-24.860954847861564,37.33945305664244
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",23.0,-5.019177229485325,15.551598142042936,-25.25257084995233,37.1829165616925
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",24.0,-3.774590788286196,15.53824562868996,-25.313938461095493,36.89118247815767
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",25.0,-3.1543122391406664,15.48468473782991,-26.26181564433856,36.81591361508867
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",26.0,-2.077074635065548,15.477667127142238,-27.21362229133288,37.35606074341373
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",27.0,-1.9716030828144735,15.508238472577393,-25.12281567717857,37.7072385467194
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",28.0,-1.5456426286205838,15.407109168931948,-23.43342374742739,37.311209229727105
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",29.0,-1.4052356395561836,15.35763700427183,-22.34766143635063,36.79969252663423
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",30.0,-1.1133336013687705,15.27189647799135,-21.633804313211797,36.352116646462406
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",31.0,-0.5893435048777331,15.208792046920122,-22.1054677277522,36.41276205487265
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",32.0,-0.2269166055238669,15.23465341726796,-20.82541421572008,36.680465112611365
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",33.0,0.9260041436288688,15.242553285412908,-20.680542541377164,36.82184864773404
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",34.0,1.667301357767227,15.144506038977294,-18.98290062829873,36.55756932022466
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",35.0,2.1638456399574526,15.128038321211902,-19.03274057250631,37.35818075007968
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",36.0,2.6343442078160946,15.06346570888002,-19.395264692005327,37.624529569281755
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",37.0,2.8666851895582304,15.103341094179846,-19.705237073291777,37.78758692060346
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",38.0,3.2643357022728168,15.108557732916376,-20.03614066424424,35.681213084300694
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",39.0,3.8304025589043382,15.060805281938451,-19.158710448929273,36.46766195673192
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",40.0,5.130907415238712,15.10894946573204,-19.741567798149383,38.69415026042609
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",41.0,5.451969769929539,15.08391728710465,-20.50780115670612,39.13658298112905
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",42.0,5.70747369113313,15.06869397039209,-20.284706878439085,40.216759477591815
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",43.0,6.033696168419299,15.044324402090696,-20.39982477907078,39.48214209510579
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",44.0,6.141313141481358,15.108510926003024,-18.19847587668083,39.69047949921848
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",45.0,6.212487934616576,15.124797599832355,-18.127851651573163,39.33260733441491
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",46.0,6.229571643672203,15.190371078742048,-19.27652795756192,39.04589218434386
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",47.0,6.351466126700284,15.21440243130163,-19.01108880979438,38.554708118041
