model_name,display_name,age_years,cate_days,cate_bootstrap_se,cate_ci_lower,cate_ci_upper
r_csf_x14,R-CSF Baseline (All 14 in X),12.0,8.02863391417576,14.598691485325718,-15.085012946612357,39.072993529397834
r_csf_x14,R-CSF Baseline (All 14 in X),13.0,8.02863391417576,14.598691485325718,-15.085012946612357,39.072993529397834
r_csf_x14,R-CSF Baseline (All 14 in X),14.0,8.02863391417576,14.598691485325718,-15.085012946612357,39.072993529397834
r_csf_x14,R-CSF Baseline (All 14 in X),15.0,8.02863391417576,14.598691485325718,-15.085012946612357,39.072993529397834
r_csf_x14,R-CSF Baseline (All 14 in X),16.0,8.02863391417576,14.598691485325718,-15.085012946612357,39.072993529397834
r_csf_x14,R-CSF Baseline (All 14 in X),17.0,8.02863391417576,14.598691485325718,-15.085012946612357,39.072993529397834
r_csf_x14,R-CSF Baseline (All 14 in X),18.0,8.02863391417576,14.598691485325718,-15.085012946612357,39.072993529397834
r_csf_x14,R-CSF Baseline (All 14 in X),19.0,8.02863391417576,14.59880951600862,-15.085012946612357,39.072993529397834
r_csf_x14,R-CSF Baseline (All 14 in X),20.0,8.02863391417576,14.598949746966605,-15.085012946612357,39.07030317686764
r_csf_x14,R-CSF Baseline (All 14 in X),21.0,8.02863391417576,14.600961966730173,-15.085012946612357,39.08450994916232
r_csf_x14,R-CSF Baseline (All 14 in X),22.0,8.01265020904749,14.599155005186653,-15.085012946612357,39.0805218405465
r_csf_x14,R-CSF Baseline (All 14 in X),23.0,7.96689423293221,14.609038350702198,-15.096288431431585,39.093443707625724
r_csf_x14,R-CSF Baseline (All 14 in X),24.0,7.97549658707168,14.667734174962401,-15.956940653795984,39.16027568124931
r_csf_x14,R-CSF Baseline (All 14 in X),25.0,7.75779708728343,14.839313253811667,-16.373628409254916,40.436471768813036
r_csf_x14,R-CSF Baseline (All 14 in X),26.0,7.68729941565684,15.059082523031151,-16.00053236601848,40.581140006923334
r_csf_x14,R-CSF Baseline (All 14 in X),27.0,7.69940368149807,14.783263448941133,-14.699169787295606,39.31276177899671
r_csf_x14,R-CSF Baseline (All 14 in X),28.0,7.66662436040442,14.359453548615154,-16.08219538501373,38.387268355356056
