model_name,display_name,design,term,coef,se,tvalue,pvalue,ci_lower,ci_upper
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Constant,-169.0954006588803,238.8550948857191,-0.7079413597594997,0.4789816738557885,-637.242784158787,299.0519828410264
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Age,1.1915257909104393,1.4635351092134363,0.8141422664952767,0.41556345489726376,-1.6769503132577905,4.060001895078669
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Weight,-1.9684607083346952,1.0145179363616965,-1.9402916772413756,0.05234425227490159,-3.956879325273519,0.019957908604128383
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Karnofsky score,2.8498902044783456,2.1154901282244913,1.347153629532759,0.17793075880699238,-1.296394256491678,6.996174665448369
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,CD4 count,-0.06710395085373326,0.13036626119258016,-0.5147340288804149,0.6067388909056,-0.3226171275903321,0.18840922588286557
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,CD8 count,0.057147318036883325,0.04494765887436549,1.27141923446152,0.2035795434348936,-0.030948474546265183,0.14524311062003184
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Gender,44.48059799925293,41.927323355205054,1.0608976304644284,0.2887364262557375,-37.695445745114036,126.6566417436199
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Homosexual activity,-31.134345835709997,34.427305745011736,-0.9043503452262202,0.3658096588896329,-98.6106251806819,36.34193350926191
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Race,31.2712147447246,25.587659061771898,1.2221209712553958,0.22166188367020478,-18.87967546503827,81.42210495448747
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Symptomatic status,-10.434581268230577,35.378263980832756,-0.2949432813855374,0.7680372080489195,-79.77470450621341,58.905541969752264
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Intravenous drug use,51.24921509469487,32.150149259587465,1.5940583877510892,0.11092295796722845,-11.76391955168365,114.2623497410734
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Haemophilia,-61.71880365888332,45.03606014709041,-1.3704307938417812,0.1705524649800696,-149.98785955276017,26.550252234993536
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,Antiretroviral history,-2.612531042280008,23.985881240632814,-0.10891953545798021,0.9132663117734706,-49.623994411375236,44.39893232681521
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,CD4 count 20± 5 weeks,-0.01639870784802514,0.10879465448881054,-0.15073082335779409,0.8801880574951695,-0.22963231235657272,0.19683489666052245
r_csf_x14,R-CSF Baseline (All 14 in X),All covariates,CD8 count 20± 5 weeks,-0.039716179357373774,0.04358392195309193,-0.9112575825580614,0.36215967034240726,-0.12513909669043857,0.045706737975691025
r_csf_x14,R-CSF Baseline (All 14 in X),Age only,Constant,-25.144140151012948,48.37015450112941,-0.5198275757094356,0.6031837576296364,-119.94790089986458,69.65962059783868
r_csf_x14,R-CSF Baseline (All 14 in X),Age only,Age,0.978226368261264,1.3496513857969623,0.7247992915471474,0.46857517046856567,-1.6670417395853558,3.6234944761078838
