model_name,display_name,design,term,coef,se,tvalue,pvalue,ci_lower,ci_upper
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Constant,-51.663985503784225,249.2638026463935,-0.20726629761431883,0.8358018932259748,-540.2120613402153,436.88409033264685
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Age,1.9630867544858914,1.5307081314638802,1.2824696714771544,0.19967793743243645,-1.037046054025916,4.963219562997699
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Weight,-1.1594193271916857,1.177273371115948,-0.9848344111382233,0.3247054148499763,-3.466832734537001,1.1479940801536295
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Karnofsky score,0.6771557322304728,2.239568811764237,0.3023598688611127,0.7623777438646355,-3.712318479726595,5.06662994418754
final_conditional_x14,Final Conditional (All 14 in X),All covariates,CD4 count,-0.10422548680840961,0.15775312549277443,-0.6606873016483179,0.5088128689565438,-0.41341593122287495,0.20496495760605576
final_conditional_x14,Final Conditional (All 14 in X),All covariates,CD8 count,0.031750240531413156,0.05112398761480472,0.6210438976442201,0.5345707406982684,-0.06845093393967588,0.13195141500250218
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Gender,1.735973583991532,51.07222571504808,0.03399056061659047,0.9728846778898405,-98.3637494278031,101.83569659578617
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Homosexual activity,-6.874651018273323,42.462579733103354,-0.1618990429098664,0.8713853565233788,-90.09977798581632,76.35047594926966
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Race,48.383393134206635,30.132090455692182,1.6057098064720114,0.10833768562200659,-10.674418937853147,107.44120520626642
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Symptomatic status,-6.097493210127016,35.08261262172769,-0.1738038519500301,0.8620196170528741,-74.85815043228361,62.66316401202958
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Intravenous drug use,51.23391674860234,41.877880064867604,1.2234123759188027,0.22117398131011234,-30.845219927426072,133.31305342463077
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Haemophilia,-48.6186219901809,59.16775014643617,-0.8217081411723972,0.41124302461153095,-164.5852813234603,67.3480373430985
final_conditional_x14,Final Conditional (All 14 in X),All covariates,Antiretroviral history,13.467981707407871,26.5093950076626,0.5080456081142146,0.6114213587355419,-38.489477759556735,65.42544117437248
final_conditional_x14,Final Conditional (All 14 in X),All covariates,CD4 count 20± 5 weeks,0.06493461685973939,0.13176545984038504,0.492804540267217,0.6221507023461958,-0.19332093883377416,0.32319017255325294
final_conditional_x14,Final Conditional (All 14 in X),All covariates,CD8 count 20± 5 weeks,-0.032670780574038764,0.04917747549582173,-0.6643444024859425,0.5064699081764075,-0.1290568613964504,0.06371530024837285
final_conditional_x14,Final Conditional (All 14 in X),Age only,Constant,-67.65923888850756,52.489855454107655,-1.2889964794752127,0.19739931050086046,-170.5374651322719,35.21898735525677
final_conditional_x14,Final Conditional (All 14 in X),Age only,Age,2.04649038560532,1.4540190251662826,1.4074715324796263,0.15928761288015292,-0.8033345365566325,4.8963153077672725
