target,horizon_label,horizon_order,name,avg_horizon,avg_pred_cate,avg_true_cate,avg_rmse,avg_mae,avg_pearson_correlation,avg_bias,avg_sign_precision,avg_total_time,case_count
RMST,RMST-H1,1,Final Conditional Oracle,1.5,0.08827677308112067,0.0897365890108745,0.03477725091637987,0.027358678475350652,0.6264186363956608,-0.001459815929753843,0.9684898200757576,0.5284160348502073,264
RMST,RMST-H1,1,Final Conditional,1.5,0.05881257247129871,0.0897365890108745,0.06295083638246037,0.05289860148592284,0.3283387764494945,-0.030924016539575796,0.8409022253787879,22.325203328421622,264
RMST,RMST-H1,1,Revised Conditional,1.5,0.06785301827100346,0.0897365890108745,0.07676210175875153,0.06334166920422409,0.18297676412838645,-0.02188357073987105,0.8301500946969698,2.307102207884644,264
RMST,RMST-H2,2,Final Conditional Oracle,2.0,0.10221187572870663,0.1048160782888903,0.041231252561747755,0.031710333771391847,0.6881447228256975,-0.002604202560183684,0.9695875946969696,0.5264343194889299,264
RMST,RMST-H2,2,Final Conditional,2.0,0.06899864254340526,0.1048160782888903,0.07736231030062615,0.0631684920629738,0.38792180250031505,-0.03581743574548505,0.8383030303030303,22.303009715947237,264
RMST,RMST-H2,2,Revised Conditional,2.0,0.08611537643153058,0.1048160782888903,0.10477599607768645,0.08388990552706743,0.21995922844818885,-0.018700701857359715,0.8237613636363637,2.323410594102108,264
RMST,RMST-H3,3,Final Conditional Oracle,15.0,0.2488678757480993,0.1692160006052937,0.2249256957230517,0.11979692345633611,0.7601652408144162,0.07965187514280561,0.9603214962121213,0.5290609950369055,264
RMST,RMST-H3,3,Final Conditional,15.0,0.21183592329191608,0.1692160006052937,0.34128523008337247,0.2041807786261052,0.4459186785693638,0.04261992268662239,0.8267405303030303,22.60733251138167,264
RMST,RMST-H3,3,Revised Conditional,15.0,0.30268116941278406,0.1692160006052937,1.0162299572132745,0.6498291350830615,0.13746693227984721,0.13346516880749035,0.6988534564393939,2.3272158386129322,264
RMST,RMST-H4,4,Final Conditional Oracle,3.0,0.12037542670781821,0.12384894988974225,0.05160558571730316,0.03803007223328667,0.7493101313316245,-0.003473523181924049,0.9714012784090909,0.5234608072223086,264
RMST,RMST-H4,4,Final Conditional,3.0,0.0846734079708784,0.12384894988974225,0.09936742216670207,0.07678751372380091,0.4389310515974623,-0.03917554191886386,0.8401998106060606,22.5022905848243,264
RMST,RMST-H4,4,Revised Conditional,3.0,0.10911393405299331,0.12384894988974225,0.16615388048710383,0.12468573029191583,0.1949416026654429,-0.014735015836748945,0.8020063920454545,2.317497527960575,264
survival.probability,SURV-Q90,1,Final Conditional Oracle,0.7801927445717518,0.06678018019960756,0.06750924582006798,0.03610729464324916,0.027450595002783296,0.6942450012254012,-0.0007290656204604212,0.9295345643939393,0.4911726785428596,264
survival.probability,SURV-Q90,1,Final Conditional,0.7801927445717518,0.04533769829597556,0.06750924582006798,0.06128112600882412,0.04905163262923788,0.39679205236832527,-0.02217154752409243,0.8031453598484848,17.56867240504785,264
survival.probability,SURV-Q90,1,Revised Conditional,0.7801927445717518,0.050565926343767026,0.06750924582006798,0.07876558472681038,0.0641526543471919,0.1794298536875613,-0.016943319476300955,0.7894460227272727,2.2755065993829207,264
