name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,horizon_label,horizon_order,horizon_description,horizon_rule,horizon_quantile,gpu_requested,gpu_enabled
Revised Conditional,0.11258570313112597,0.042590426206701545,0.1563824764006181,0.0608434975654023,-0.04379677326949209,0.06799099685780421,0.05567359787224732,2.1786434650421143,RevisedBaselineCensoredSurvivalForest,0.99975,0.5424309260595382,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S04,4000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.11852556934460948,0.05547402425329057,0.15443467440859246,0.06236479898527112,-0.03590910506398298,0.056778279424809966,0.045392081780497105,34.709319829940796,ConditionalCensoringFinalCensoredModel,1.0,0.7273077770617493,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.1530629870521246,0.06861122305576339,0.15443467440859246,0.06236479898527112,-0.0013716873564678916,0.033180877596907764,0.026523858277218287,0.9289746284484863,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8761287864323848,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.131290411424228,0.049225648862263334,0.15443467440859246,0.06236479898527112,-0.023144262984364467,0.05849849695871464,0.047048336726831494,4.058597564697266,RevisedBaselineCensoredSurvivalForest,1.0,0.5580087610726038,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.12056970927487974,0.03794241450163125,0.16235313272701682,0.05623741282806299,-0.041783423452137085,0.05845489953441588,0.04801954892016204,75.52771139144897,ConditionalCensoringFinalCensoredModel,1.0,0.6868440470232455,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S06,16000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.16174729240787292,0.05612111588675925,0.16235313272701682,0.05623741282806299,-0.0006058403191438901,0.023348560727045376,0.01815409839532985,1.6969585418701172,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.9136951265287896,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S06,16000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.13096165533138407,0.036188578506304796,0.16235313272701682,0.05623741282806299,-0.03139147739563275,0.05962731363373595,0.048665220213619714,8.194597005844116,RevisedBaselineCensoredSurvivalForest,0.9999375,0.46735283423231017,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S06,16000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional,0.10322187491033093,0.0210526135312095,0.1637033040798569,0.05384408552315415,-0.060481429169526,0.08595349966301788,0.07197258854527233,8.227845430374146,ConditionalCensoringFinalCensoredModel,1.0,-0.17096721131023754,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Conditional Oracle,0.14560618556657182,0.031121120439795886,0.1637033040798569,0.05384408552315415,-0.018097118513285118,0.03834947120418926,0.03196789037265817,0.5524725914001465,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8129595128165612,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Conditional,0.10602542519981069,0.021195460122667674,0.1637033040798569,0.05384408552315415,-0.05767787888004625,0.08141955025164854,0.06768996880454121,1.4712393283843994,RevisedBaselineCensoredSurvivalForest,1.0,0.02016544043792217,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
