target,setting_id,case_id,case_slug,model,train_seconds,train_n,test_n
RMST,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.6683166027069092,500,20000
survival.probability,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.23949670791625977,500,20000
survival.probability,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional,4.413515567779541,500,20000
survival.probability,S01,9,nonlinear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.680408239364624,500,20000
RMST,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.22808241844177246,500,20000
RMST,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional,4.603425025939941,500,20000
RMST,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Revised Conditional,0.6671199798583984,500,20000
survival.probability,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.2273244857788086,500,20000
survival.probability,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Final Conditional,4.338200569152832,500,20000
survival.probability,S01,10,nonlinear_nonlinear_informative_weak_harmful_small,Revised Conditional,0.6643736362457275,500,20000
RMST,S01,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.21999025344848633,500,20000
RMST,S01,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,4.729268550872803,500,20000
RMST,S01,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,0.682183027267456,500,20000
survival.probability,S01,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.21480059623718262,500,20000
survival.probability,S01,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,4.407262802124023,500,20000
survival.probability,S01,11,nonlinear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,0.6747186183929443,500,20000
RMST,S01,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.2172544002532959,500,20000
RMST,S01,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,4.61521577835083,500,20000
RMST,S01,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.6800763607025146,500,20000
survival.probability,S01,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.22392702102661133,500,20000
survival.probability,S01,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,4.486199140548706,500,20000
survival.probability,S01,12,nonlinear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.6639037132263184,500,20000
RMST,S02,1,linear_linear_informative_strong_beneficial_large,Final Conditional Oracle,0.24960088729858398,1000,20000
RMST,S02,1,linear_linear_informative_strong_beneficial_large,Final Conditional,6.03001856803894,1000,20000
RMST,S02,1,linear_linear_informative_strong_beneficial_large,Revised Conditional,0.9991974830627441,1000,20000
survival.probability,S02,1,linear_linear_informative_strong_beneficial_large,Final Conditional Oracle,0.24780488014221191,1000,20000
survival.probability,S02,1,linear_linear_informative_strong_beneficial_large,Final Conditional,5.484564781188965,1000,20000
survival.probability,S02,1,linear_linear_informative_strong_beneficial_large,Revised Conditional,0.907952070236206,1000,20000
RMST,S02,2,linear_linear_informative_weak_harmful_small,Final Conditional Oracle,0.2515096664428711,1000,20000
RMST,S02,2,linear_linear_informative_weak_harmful_small,Final Conditional,6.219364404678345,1000,20000
RMST,S02,2,linear_linear_informative_weak_harmful_small,Revised Conditional,0.8766276836395264,1000,20000
survival.probability,S02,2,linear_linear_informative_weak_harmful_small,Final Conditional Oracle,0.24077153205871582,1000,20000
survival.probability,S02,2,linear_linear_informative_weak_harmful_small,Final Conditional,5.588361501693726,1000,20000
survival.probability,S02,2,linear_linear_informative_weak_harmful_small,Revised Conditional,0.9667985439300537,1000,20000
RMST,S02,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.2533400058746338,1000,20000
RMST,S02,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional,6.105412006378174,1000,20000
RMST,S02,3,linear_linear_weakproxy_strong_harmful_moderate,Revised Conditional,0.9140286445617676,1000,20000
survival.probability,S02,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.25153064727783203,1000,20000
survival.probability,S02,3,linear_linear_weakproxy_strong_harmful_moderate,Final Conditional,5.869503498077393,1000,20000
survival.probability,S02,3,linear_linear_weakproxy_strong_harmful_moderate,Revised Conditional,0.8750669956207275,1000,20000
RMST,S02,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.2472844123840332,1000,20000
RMST,S02,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional,6.1278235912323,1000,20000
RMST,S02,4,linear_linear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.9697091579437256,1000,20000
survival.probability,S02,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.24631309509277344,1000,20000
survival.probability,S02,4,linear_linear_weakproxy_weak_nearnull_harmful,Final Conditional,5.680631399154663,1000,20000
survival.probability,S02,4,linear_linear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.8733789920806885,1000,20000
RMST,S02,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.255033016204834,1000,20000
RMST,S02,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional,6.138916015625,1000,20000
RMST,S02,5,linear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.8820037841796875,1000,20000
survival.probability,S02,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.24062108993530273,1000,20000
survival.probability,S02,5,linear_nonlinear_informative_strong_beneficial_large,Final Conditional,5.445746421813965,1000,20000
survival.probability,S02,5,linear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.9687690734863281,1000,20000
RMST,S02,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.2556295394897461,1000,20000
RMST,S02,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional,6.121307373046875,1000,20000
RMST,S02,6,linear_nonlinear_informative_weak_harmful_small,Revised Conditional,0.8762392997741699,1000,20000
survival.probability,S02,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional Oracle,0.24101543426513672,1000,20000
survival.probability,S02,6,linear_nonlinear_informative_weak_harmful_small,Final Conditional,5.682409286499023,1000,20000
survival.probability,S02,6,linear_nonlinear_informative_weak_harmful_small,Revised Conditional,0.8712587356567383,1000,20000
RMST,S02,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.255265474319458,1000,20000
RMST,S02,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,6.121196985244751,1000,20000
RMST,S02,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,0.9741971492767334,1000,20000
survival.probability,S02,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional Oracle,0.2409074306488037,1000,20000
survival.probability,S02,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Final Conditional,5.702739238739014,1000,20000
survival.probability,S02,7,linear_nonlinear_weakproxy_strong_harmful_moderate,Revised Conditional,0.8772954940795898,1000,20000
RMST,S02,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.25235533714294434,1000,20000
RMST,S02,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,6.233157634735107,1000,20000
RMST,S02,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.8808615207672119,1000,20000
survival.probability,S02,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional Oracle,0.2414841651916504,1000,20000
survival.probability,S02,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Final Conditional,5.703420162200928,1000,20000
survival.probability,S02,8,linear_nonlinear_weakproxy_weak_nearnull_harmful,Revised Conditional,0.9756424427032471,1000,20000
RMST,S02,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional Oracle,0.26200294494628906,1000,20000
RMST,S02,9,nonlinear_nonlinear_informative_strong_beneficial_large,Final Conditional,6.125608921051025,1000,20000
RMST,S02,9,nonlinear_nonlinear_informative_strong_beneficial_large,Revised Conditional,0.9311501979827881,1000,20000
