setting_id,model,case_id,mean_abs_subgroup_bias
S04,Final Conditional Oracle,4,0.01098706510147806
S04,Final Conditional Oracle,5,0.05101276657646264
S04,Final Conditional Oracle,6,0.02505754216150064
S04,Final Conditional Oracle,7,0.03577785996208628
S04,Final Conditional Oracle,8,0.01811653993316424
S04,Final Conditional Oracle,9,0.06022212337710316
S04,Final Conditional Oracle,10,0.02406689495564442
S04,Final Conditional Oracle,11,0.039966028293012004
S04,Final Conditional Oracle,12,0.00751845876944766
S04,Revised Conditional,1,0.06955446203111885
S04,Revised Conditional,2,0.03805530084956498
S04,Revised Conditional,3,0.1283303540412052
S04,Revised Conditional,4,0.021060732313985718
S04,Revised Conditional,5,0.07315851044135724
S04,Revised Conditional,6,0.04473031737845526
S04,Revised Conditional,7,0.1477832228425326
S04,Revised Conditional,8,0.033020038230376504
S04,Revised Conditional,9,0.06794178913224706
S04,Revised Conditional,10,0.025941001359669157
S04,Revised Conditional,11,0.059219363114358624
S04,Revised Conditional,12,0.00560031007955116
S05,Final Conditional,1,0.0474504537439039
S05,Final Conditional,2,0.04350299774537726
S05,Final Conditional,3,0.10955297396357641
S05,Final Conditional,4,0.009362158558107962
S05,Final Conditional,5,0.066847431813194
S05,Final Conditional,6,0.03595239290878224
S05,Final Conditional,7,0.12168989249825868
S05,Final Conditional,8,0.01674542045633624
S05,Final Conditional,9,0.07513560563822937
S05,Final Conditional,10,0.027270070941248135
S05,Final Conditional,11,0.07336336613771673
S05,Final Conditional,12,0.013281822715197062
S05,Final Conditional Oracle,1,0.045352098595547216
S05,Final Conditional Oracle,2,0.04180263766746248
S05,Final Conditional Oracle,3,0.04599490773678152
S05,Final Conditional Oracle,4,0.007536516065490541
S05,Final Conditional Oracle,5,0.05746401390356461
S05,Final Conditional Oracle,6,0.03695605639992826
S05,Final Conditional Oracle,7,0.04622439683925756
S05,Final Conditional Oracle,8,0.014183262048838819
S05,Final Conditional Oracle,9,0.06112600127697998
S05,Final Conditional Oracle,10,0.027475938215820263
S05,Final Conditional Oracle,11,0.054104239890301775
S05,Final Conditional Oracle,12,0.013139655025232119
S05,Revised Conditional,1,0.05323109896343926
S05,Revised Conditional,2,0.03941371035754778
S05,Revised Conditional,3,0.10886881421076451
S05,Revised Conditional,4,0.01059087846334214
S05,Revised Conditional,5,0.077923430593847
S05,Revised Conditional,6,0.03622537011501526
S05,Revised Conditional,7,0.12557187087234994
S05,Revised Conditional,8,0.017931232977505478
S05,Revised Conditional,9,0.08161819593278342
S05,Revised Conditional,10,0.03174247569197482
S05,Revised Conditional,11,0.06820977259842168
S05,Revised Conditional,12,0.01223476121120414
S06,Final Conditional,1,0.06056269240080534
S06,Final Conditional,2,0.02185580903276796
