model_name,rep,age_years,cate_days
final_conditional_x12_w2_z2,1,47.0,10.044131943236549
final_conditional_x12_w2_z2,1,48.0,10.356879228846267
final_conditional_x12_w2_z2,1,49.0,10.47159322557746
final_conditional_x12_w2_z2,1,50.0,10.81343010907815
final_conditional_x12_w2_z2,1,51.0,10.841566103337895
final_conditional_x12_w2_z2,1,52.0,11.125513435304331
final_conditional_x12_w2_z2,1,53.0,11.616878019493779
final_conditional_x12_w2_z2,1,54.0,11.885611473299829
final_conditional_x12_w2_z2,1,55.0,12.09814769977795
final_conditional_x12_w2_z2,1,56.0,12.416910017328506
final_conditional_x12_w2_z2,1,57.0,12.424541592675078
final_conditional_x12_w2_z2,1,58.0,12.570526489883576
final_conditional_x12_w2_z2,1,59.0,12.830627667243537
final_conditional_x12_w2_z2,1,60.0,13.188526993449043
final_conditional_x12_w2_z2,1,61.0,13.270336096982502
final_conditional_x12_w2_z2,1,62.0,13.457058845737006
final_conditional_x12_w2_z2,1,63.0,13.320994337775844
final_conditional_x12_w2_z2,1,64.0,13.7477189858234
final_conditional_x12_w2_z2,1,65.0,14.313235951473413
final_conditional_x12_w2_z2,1,66.0,25.511834234577126
final_conditional_x12_w2_z2,1,67.0,25.328174411620747
final_conditional_x12_w2_z2,1,68.0,25.689588061040126
final_conditional_x12_w2_z2,1,69.0,25.70377608055635
final_conditional_x12_w2_z2,1,70.0,26.04113563980374
final_conditional_x12_w2_z2,2,12.0,28.134180247522323
final_conditional_x12_w2_z2,2,13.0,28.127885965020315
final_conditional_x12_w2_z2,2,14.0,28.199342980087344
final_conditional_x12_w2_z2,2,15.0,28.232859347893186
final_conditional_x12_w2_z2,2,16.0,28.17150648543957
final_conditional_x12_w2_z2,2,17.0,28.2854138276049
final_conditional_x12_w2_z2,2,18.0,28.215650482689284
final_conditional_x12_w2_z2,2,19.0,28.179510861298017
final_conditional_x12_w2_z2,2,20.0,29.562738332548587
final_conditional_x12_w2_z2,2,21.0,29.834454030870354
final_conditional_x12_w2_z2,2,22.0,30.24042334290058
final_conditional_x12_w2_z2,2,23.0,30.379339522953803
final_conditional_x12_w2_z2,2,24.0,31.142894777146118
final_conditional_x12_w2_z2,2,25.0,31.046953325779523
final_conditional_x12_w2_z2,2,26.0,30.240364891986523
final_conditional_x12_w2_z2,2,27.0,28.343480893795608
final_conditional_x12_w2_z2,2,28.0,28.072690445207755
final_conditional_x12_w2_z2,2,29.0,27.774148069149767
final_conditional_x12_w2_z2,2,30.0,26.77819608883484
final_conditional_x12_w2_z2,2,31.0,26.69373508314343
final_conditional_x12_w2_z2,2,32.0,27.527153111195098
final_conditional_x12_w2_z2,2,33.0,29.300193012790228
final_conditional_x12_w2_z2,2,34.0,30.59930957099104
final_conditional_x12_w2_z2,2,35.0,31.767433232195955
final_conditional_x12_w2_z2,2,36.0,32.281772273849626
final_conditional_x12_w2_z2,2,37.0,31.689175559714748
final_conditional_x12_w2_z2,2,38.0,31.4986666260239
final_conditional_x12_w2_z2,2,39.0,31.52733891919786
final_conditional_x12_w2_z2,2,40.0,31.379973494923615
final_conditional_x12_w2_z2,2,41.0,31.161992284844175
final_conditional_x12_w2_z2,2,42.0,31.098412164962507
final_conditional_x12_w2_z2,2,43.0,30.930288537189945
final_conditional_x12_w2_z2,2,44.0,30.828430631690846
final_conditional_x12_w2_z2,2,45.0,30.5838789426953
final_conditional_x12_w2_z2,2,46.0,30.597843451981106
final_conditional_x12_w2_z2,2,47.0,30.537298990157357
final_conditional_x12_w2_z2,2,48.0,30.4690282496166
final_conditional_x12_w2_z2,2,49.0,30.053940715449922
final_conditional_x12_w2_z2,2,50.0,29.632263778098885
final_conditional_x12_w2_z2,2,51.0,29.594664316763946
final_conditional_x12_w2_z2,2,52.0,29.48150421345304
final_conditional_x12_w2_z2,2,53.0,29.366190269885372
final_conditional_x12_w2_z2,2,54.0,29.419127552364472
final_conditional_x12_w2_z2,2,55.0,29.44724418177625
final_conditional_x12_w2_z2,2,56.0,29.444389333126754
final_conditional_x12_w2_z2,2,57.0,29.302999069293847
final_conditional_x12_w2_z2,2,58.0,29.3277628897156
final_conditional_x12_w2_z2,2,59.0,29.056349565096586
final_conditional_x12_w2_z2,2,60.0,28.73073156683033
final_conditional_x12_w2_z2,2,61.0,28.573351351216324
final_conditional_x12_w2_z2,2,62.0,28.39073329794718
final_conditional_x12_w2_z2,2,63.0,28.335977779499807
final_conditional_x12_w2_z2,2,64.0,28.270864692581778
final_conditional_x12_w2_z2,2,65.0,28.32878516696253
final_conditional_x12_w2_z2,2,66.0,28.316625144904474
final_conditional_x12_w2_z2,2,67.0,28.199452829207136
final_conditional_x12_w2_z2,2,68.0,28.080291064466874
final_conditional_x12_w2_z2,2,69.0,27.85192017504569
final_conditional_x12_w2_z2,2,70.0,27.55680170913638
final_conditional_x12_w2_z2,3,12.0,-1.659072081412833
final_conditional_x12_w2_z2,3,13.0,-1.6976784523000497
final_conditional_x12_w2_z2,3,14.0,-1.9172410196088578
final_conditional_x12_w2_z2,3,15.0,-2.013585526290024
final_conditional_x12_w2_z2,3,16.0,-2.038866149730288
final_conditional_x12_w2_z2,3,17.0,-2.056933555254182
final_conditional_x12_w2_z2,3,18.0,-1.9784954910730521
final_conditional_x12_w2_z2,3,19.0,-2.138371618140405
final_conditional_x12_w2_z2,3,20.0,-2.143172083705455
final_conditional_x12_w2_z2,3,21.0,-2.0876892737889667
final_conditional_x12_w2_z2,3,22.0,-2.017231620785184
final_conditional_x12_w2_z2,3,23.0,-2.0175634060926155
final_conditional_x12_w2_z2,3,24.0,-1.9213231643223079
final_conditional_x12_w2_z2,3,25.0,-1.8124659833356054
final_conditional_x12_w2_z2,3,26.0,-1.4986517618418278
final_conditional_x12_w2_z2,3,27.0,-1.1247909987113394
final_conditional_x12_w2_z2,3,28.0,-0.44909373447286954
final_conditional_x12_w2_z2,3,29.0,-0.3078050991963055
final_conditional_x12_w2_z2,3,30.0,-0.22665455395404333
final_conditional_x12_w2_z2,3,31.0,0.08716291019022943
final_conditional_x12_w2_z2,3,32.0,0.9136661293706942
final_conditional_x12_w2_z2,3,33.0,1.8138484886015358
final_conditional_x12_w2_z2,3,34.0,2.7239179732839998
