name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon
R-CSF Baseline,0.1042085188223241,0.0481637139771895,0.2388534612201229,0.1880401636090127,-0.1346449423977987,0.2203717599438661,0.1473101916374099,4.400944232940674,GRFCensoredBaseline,0.994,0.3999461328664511,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,5.9992397233127095
R-CSF Baseline,0.0961338923166604,0.0447477340040706,0.1367658747612299,0.0633066502024178,-0.0406319824445694,0.085180799005868,0.0697426355363669,4.288377046585083,GRFCensoredBaseline,0.927,0.0715329297769519,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,0.3126020150704299
R-CSF Baseline,-0.3576918836800334,0.6876707146152709,0.4124182900831714,0.543510617146987,-0.7701101737632049,1.2433119400869086,0.8558849856973292,5.591985464096069,GRFCensoredBaseline,0.358,-0.246765179495358,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,14.157768107256922
R-CSF Baseline,0.0966671062384793,0.0135918992913795,0.092758765550689,0.0774374827153608,0.0039083406877902,0.0783091179607014,0.0700678347189859,5.289572715759277,GRFCensoredBaseline,0.999,0.0305269620536588,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,0.2797946460884873
R-CSF Baseline,0.060320717881698,0.379265537730172,0.5312469396824331,1.0196041984560291,-0.4709262218007351,1.1431121081718296,0.6162408979209478,6.795187950134277,GRFCensoredBaseline,0.5065,0.1273611288215408,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,43.74139116265664
R-CSF Baseline,0.057796041954665,0.019187086649212,0.0883232359986563,0.0762248853523935,-0.0305271940439912,0.0844019381776662,0.0685069641921322,6.239583492279053,GRFCensoredBaseline,0.997,-0.0045811432899413,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,0.2814556373037306
R-CSF Baseline,0.2521069968370655,0.0648747879657649,0.2237466381545733,0.155370099733211,0.0283603586824921,0.1343625112663276,0.1127945396239918,4.334049463272095,GRFCensoredBaseline,1.0,0.5505986849050444,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,3.8941248224100784
R-CSF Baseline,0.1305258593173893,0.0230073413974017,0.1377601460832398,0.0651692011525204,-0.0072342867658504,0.0659518077614131,0.0569514514517787,3.9003729820251465,GRFCensoredBaseline,1.0,0.1597525880976827,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,0.3136160221880097
R-CSF Baseline,0.2030694592311839,0.1140007412417013,0.2195529142333098,0.144301338379216,-0.0164834550021258,0.0951989008050895,0.0683464539396514,4.337730646133423,GRFCensoredBaseline,1.0,0.7607057656687064,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,4.255628577261473
R-CSF Baseline,0.1186447455389156,0.0130290218316583,0.1461164568958477,0.0588644985117651,-0.027471711356932,0.0645445032296571,0.0563746883300336,4.171979427337647,GRFCensoredBaseline,1.0,0.1456989012096733,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S13,2000,5,3,3,0.3095921592423794
R-CSF Baseline,0.1912359065645608,0.1221162769186502,0.2261493895725173,0.1588069264850345,-0.0349134830079564,0.1554849350968214,0.1169806638157416,4.635727405548096,GRFCensoredBaseline,0.997,0.44282706155051,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S14,2000,5,5,5,4.055039028821617
R-CSF Baseline,0.1249406442459656,0.0241562920616588,0.1386350608563233,0.0657842678636585,-0.0136944166103576,0.0648694401705893,0.05502318114414,4.970643997192383,GRFCensoredBaseline,1.0,0.2802173834250066,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S14,2000,5,5,5,0.3270060452624015
R-CSF Baseline,0.2649864049262169,0.0935106961554366,0.2331192528084237,0.1804039777965399,0.0318671521177931,0.1325510817855178,0.1019008374413868,5.971814632415772,GRFCensoredBaseline,1.0,0.7331360167877368,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S15,2000,5,10,10,5.605361638136968
R-CSF Baseline,0.1784865728067892,0.0213586328748873,0.1389649449211283,0.0631279444698992,0.0395216278856608,0.0708817953993181,0.0543914727491292,5.676769495010376,GRFCensoredBaseline,1.0,0.3630643829858347,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S15,2000,5,10,10,0.3094721376496598
R-CSF Baseline,0.128889020950046,0.0486750980431335,0.2351447340526538,0.1779059134137475,-0.1062557131026078,0.1940122861580914,0.1338821744255285,6.52483057975769,GRFCensoredBaseline,0.9995,0.4428206503861874,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S16,2000,5,20,20,4.031987320085309
R-CSF Baseline,0.0566204180322374,0.0182461273416922,0.1235266249054644,0.0708196045154996,-0.066906206873227,0.0980414940117061,0.0827425839324791,6.170145988464356,GRFCensoredBaseline,1.0,0.0822806950988615,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S16,2000,5,20,20,0.3220102204940581
R-CSF Baseline,0.1714341127069157,0.059611787096777,0.2425761890074966,0.1938225154678532,-0.0711420763005809,0.1954349070599021,0.1344569274417965,4.742935657501221,GRFCensoredBaseline,0.999,0.3456400876862701,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S17,2000,5,1,10,5.290064523071756
R-CSF Baseline,0.1123390087342551,0.0165653227942887,0.1325667147583147,0.0671619594591955,-0.0202277060240595,0.0666894568159748,0.0576649169523697,4.603991746902466,GRFCensoredBaseline,1.0,0.335629300184423,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S17,2000,5,1,10,0.3315629354214879
R-CSF Baseline,0.1767905381528486,0.1133903390119893,0.2425761890074966,0.1938225154678532,-0.065785650854648,0.1745350636800425,0.1178896479357769,4.79525089263916,GRFCensoredBaseline,0.996,0.5526035389103744,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S18,2000,5,10,1,5.290064523071756
R-CSF Baseline,0.0942128035993238,0.0151276263216218,0.1325667147583147,0.0671619594591955,-0.0383539111589909,0.0758083599955011,0.0648397446866271,4.677970886230469,GRFCensoredBaseline,1.0,0.2281931419202556,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S18,2000,5,10,1,0.3315629354214879
R-CSF Baseline,0.1555729863982673,0.1366385785085553,0.2617469834198966,0.2429031147947437,-0.1061739970216293,0.253279999992826,0.1688646818217846,5.219151020050049,GRFCensoredBaseline,0.9425,0.3735196012628556,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S19,2000,10,5,5,6.0415296412434
R-CSF Baseline,0.0605827294753529,0.018660162484178,0.1174052881398694,0.0722367263373328,-0.0568225586645164,0.0916445285365464,0.07583981187798,5.015619516372681,GRFCensoredBaseline,1.0,0.1470492739090776,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S19,2000,10,5,5,0.2991487502117674
R-CSF Baseline,0.0891318433419566,0.0554890710314415,0.252582389843307,0.2223377670477447,-0.1634505465013504,0.2595271790095092,0.1719627026797356,6.32305383682251,GRFCensoredBaseline,0.9645,0.4812571884984922,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S20,2000,20,5,5,6.765397361558125
R-CSF Baseline,0.020615853707046,0.0225221228232286,0.1290641383136976,0.0668116685005218,-0.1084482846066515,0.1296474332272685,0.1107878648964423,6.219695568084717,GRFCensoredBaseline,0.8255,-0.0253802694639988,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S20,2000,20,5,5,0.3014566136030481
R-CSF Baseline,0.0003329691789003,0.0929600756964153,0.3794413334670596,0.4617401049383838,-0.3791083642881592,0.6133136958111731,0.3918164359817694,6.880585670471191,GRFCensoredBaseline,0.516,-0.1233014931356412,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S21,2000,40,10,10,11.682478259692967
R-CSF Baseline,0.0940589750914577,0.0097980022611551,0.0921331847827841,0.0767668678722068,0.0019257903086736,0.0773900068522572,0.069030578293208,6.453164100646973,GRFCensoredBaseline,1.0,0.0024252482881516,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S21,2000,40,10,10,0.2902803595999702
R-CSF Baseline,0.208277895946406,0.2233254360498702,0.460442998801767,0.7358616944303,-0.2521651028553608,0.8011046381085799,0.4420732611803097,15.433267593383787,GRFCensoredBaseline,0.81925,0.0401166840049817,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S22,4000,20,10,10,25.98841981872896
R-CSF Baseline,0.0968243028612357,0.0131412314101146,0.0922165497694496,0.0767870384148865,0.004607753091786,0.0772463626206987,0.0688978482064493,14.419922828674316,GRFCensoredBaseline,0.99925,0.061032098919831,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S22,4000,20,10,10,0.3132398869327538
R-CSF Baseline,0.0951118923646896,0.0232126083262603,0.0713185156933633,0.0392472168130634,0.0237933766713263,0.0387489971816598,0.0336669440940825,2.011049270629883,GRFCensoredBaseline,1.0,0.6277558711016752,RMST,2,linear_linear_informative_weak_harmful_small,"Linear treatment / linear outcome DGP, informative proxies, weak confounding, small beneficial treatment effect",S01,500,5,1,1,2.413203855517556
