name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,source_file
Final Conditional,0.1231323626474688,0.0325594314985078,0.1561075403556551,0.0535228954731097,-0.0329751777081863,0.0613092367894343,0.0514161623878388,68.46016812324524,ConditionalCensoringFinalCensoredModel,1.0,0.3596071308325356,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S06,16000,5,1,1,0.3267957079017521,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1258652217095207,0.0522397010631129,0.2027032402370965,0.1123290277245756,-0.0768380185275758,0.1228396373299962,0.0916840554921489,8.086649656295776,ConditionalCensoringFinalCensoredModel,1.0,0.524988484909597,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,3.971124956253103,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.127722692966878,0.0538021419891605,0.1633974223845869,0.0498082176627516,-0.0356747294177088,0.0611061068710052,0.0506795861708702,8.077200651168823,ConditionalCensoringFinalCensoredModel,0.974,0.543747897713829,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,0.3370616018793481,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1762561329372576,0.1275902410527516,0.2433154875081338,0.191299634684863,-0.0670593545708762,0.1430384910033939,0.0951057137464333,9.503878831863403,ConditionalCensoringFinalCensoredModel,1.0,0.7561417901250517,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,5.323430614291711,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1012591246551707,0.0357993192600907,0.135791273777472,0.0658710894065927,-0.0345321491223012,0.0679864947600794,0.0563898739773074,9.443541049957275,ConditionalCensoringFinalCensoredModel,1.0,0.4645392945261234,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S08,2000,5,1,1,0.3291369842677525,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.1128481499733067,0.0905099023796185,0.2388534612201229,0.1880401636090127,-0.1260053112468162,0.1928364521757885,0.137048226378407,12.004070520401,ConditionalCensoringFinalCensoredModel,0.9215,0.6534443094101658,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,5.9992397233127095,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.119112447873558,0.0428307863936514,0.1367658747612299,0.0633066502024178,-0.0176534268876719,0.0651182176043583,0.0522267337800195,11.677771091461182,ConditionalCensoringFinalCensoredModel,0.9965,0.3528467751462807,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S09,2000,10,1,1,0.3126020150704299,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.2996175647823463,0.2773507812409594,0.4124182900831714,0.543510617146987,-0.1128007253008251,0.4212840553377951,0.2033113416500974,16.498586893081665,ConditionalCensoringFinalCensoredModel,0.9885,0.6884925513388692,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,14.157768107256922,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0113423905073621,0.0219809762175226,0.092758765550689,0.0774374827153608,-0.0814163750433269,0.1137034727896128,0.0887552442267494,15.489980697631836,ConditionalCensoringFinalCensoredModel,0.678,0.0528370856374544,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S10,2000,20,1,1,0.2797946460884873,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.7667300965305401,1.235849535861285,0.5312469396824331,1.0196041984560291,0.2354831568481069,0.8051103862043859,0.3735479444474463,25.96595454216003,ConditionalCensoringFinalCensoredModel,0.996,0.7833512522666514,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,43.74139116265664,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.0440755726096947,0.0257003175420141,0.0883232359986563,0.0762248853523935,-0.0442476633889616,0.0844354789090814,0.0652082654181339,23.290680408477783,ConditionalCensoringFinalCensoredModel,0.9725,0.3316086250755951,survival.probability,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S11,2000,40,1,1,0.2814556373037306,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
Final Conditional,0.2118910075186104,0.1172880415537886,0.2237466381545733,0.155370099733211,-0.0118556306359628,0.0708516795721794,0.0520748751626913,11.00047492980957,ConditionalCensoringFinalCensoredModel,1.0,0.9059114561441024,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S12,2000,5,2,2,3.8941248224100784,/Users/kyoungeuihong/Desktop/csf_grf_new/outputs/five_models_output/results_full.csv
