model_name,display_name,model_kind,fit_time_sec,x_dim,w_dim,z_dim,implemented_w_dim,implemented_z_dim,bootstrap_reps,n_subjects,cate_mean,cate_std,cate_min,cate_q25,cate_median,cate_q75,cate_max,age_peak_year,age_peak_cate_days,blp_age_only_coef,blp_age_only_se
final_conditional_x14,Final Conditional (All 14 in X),final_conditional,15.686610460281372,14,0,0,1,1,0,1083,2.3159671806039666,11.783463980138317,-27.40335817273972,-4.35076466482373,0.7236908292385569,7.182293655944883,34.67408506894263,46.0,8.373733703393098,2.04649038560532,1.4540190251662826
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",final_conditional,16.211544036865234,12,2,2,2,2,0,1083,3.7618107951361814,10.938537264469549,-25.802560774073235,-2.1791167720110867,3.1182115809586706,8.819282188550899,34.93964709234612,62.0,6.36824910454267,1.5093518661742629,1.429519859789212
final_conditional_rec_a,"Final Conditional (Rec A: profile X, severity W, history Z)",final_conditional,15.594814538955688,5,6,3,6,3,0,1083,5.934592869486367,12.746212982458998,-23.35704089410873,-1.932671374471779,3.566305077511878,13.233976520179654,43.32562911519995,46.0,4.784478930933837,1.4357051932470484,1.441902530648058
final_conditional_rec_b,"Final Conditional (Rec B: broad X, lab W, decision Z)",final_conditional,15.179903984069824,6,4,4,4,4,0,1083,5.4838443084015305,14.38879892019129,-26.242971386200956,-2.9843244244436864,2.6376138350348315,10.281532571151162,46.93218164193581,43.0,4.381882979856135,1.5121765954053674,1.4401035989492046
