target,horizon_label,horizon_order,name,avg_horizon,avg_pred_cate,avg_true_cate,avg_rmse,avg_mae,avg_pearson_correlation,avg_bias,avg_sign_precision,avg_total_time,case_count
RMST,RMST-H1,1,Final Marginal Oracle,1.5,0.08827677308112067,0.0897365890108745,0.03477725091637988,0.027358678475350652,0.6264186363956608,-0.0014598159297538435,0.9684898200757576,0.5245865944660071,264
RMST,RMST-H1,1,Final Marginal,1.5,0.05907992189720166,0.0897365890108745,0.06371840533916702,0.053205436728584916,0.2981268054108719,-0.030656667113672844,0.8436354166666666,20.3733703530196,264
RMST,RMST-H1,1,Revised Marginal,1.5,0.06378041007641033,0.0897365890108745,0.06596111862331813,0.055921196532653136,0.20448327312107117,-0.02595617893446416,0.8526756628787879,1.6002227483373699,264
RMST,RMST-H2,2,Final Marginal Oracle,2.0,0.10221187572870663,0.1048160782888903,0.041231252561747755,0.031710333771391847,0.6881447228256975,-0.002604202560183684,0.9695875946969696,0.5212158316915686,264
RMST,RMST-H2,2,Final Marginal,2.0,0.06933500825059082,0.1048160782888903,0.07807484260271903,0.06319956419276716,0.3587037874640191,-0.035481070038299485,0.8443454071969697,20.462268284775995,264
RMST,RMST-H2,2,Revised Marginal,2.0,0.07605316720037532,0.1048160782888903,0.08504354682221064,0.06997976896344388,0.24250371326650955,-0.028762911088514993,0.8473958333333333,1.6159410151568325,264
RMST,RMST-H3,3,Final Marginal Oracle,15.0,0.2488678757480993,0.1692160006052937,0.2249256957230517,0.11979692345633611,0.7601652408144162,0.07965187514280561,0.9603214962121213,0.5248887475692865,264
RMST,RMST-H3,3,Final Marginal,15.0,0.20344563818213057,0.1692160006052937,0.33837568008041646,0.19641220527315625,0.4408775630595135,0.034229637576836856,0.8354599905303031,20.496054912155326,264
RMST,RMST-H3,3,Revised Marginal,15.0,0.2093165145255493,0.1692160006052937,0.7074523702324164,0.46499267152595664,0.13928065329629366,0.04010051392025561,0.703469696969697,1.619371881087621,264
RMST,RMST-H4,4,Final Marginal Oracle,3.0,0.12037542670781821,0.12384894988974225,0.05160558571730316,0.03803007223328667,0.7493101313316245,-0.0034735231819240492,0.9714012784090909,0.5212560133500532,264
RMST,RMST-H4,4,Final Marginal,3.0,0.08470994942862342,0.12384894988974225,0.09960530155203941,0.07627045265745873,0.4194927669409405,-0.03913900046111884,0.8474119318181818,20.660502853718672,264
RMST,RMST-H4,4,Revised Marginal,3.0,0.09559834282193481,0.12384894988974225,0.12139812533785949,0.09369710141633981,0.2561127068996464,-0.028250607067807448,0.8380852272727273,1.6173514633467703,264
survival.probability,SURV-Q90,1,Final Marginal Oracle,0.7801927445717518,0.06678018019960756,0.06750924582006798,0.03610729464324916,0.027450595002783296,0.6942450012254012,-0.0007290656204604212,0.9295345643939393,0.4759414783029845,264
survival.probability,SURV-Q90,1,Final Marginal,0.7801927445717518,0.04514999552494492,0.06750924582006798,0.06202975372871738,0.049482923776333836,0.3725535788160673,-0.022359250295123066,0.8034446022727273,15.841803044080734,264
survival.probability,SURV-Q90,1,Revised Marginal,0.7801927445717518,0.047506205243434796,0.06750924582006798,0.06759682756908882,0.05616451672311606,0.2048250094183063,-0.020003040576633192,0.8115617897727272,1.577351711916201,264
