name,mean_pred,std_pred,mean_true_cate,std_true_cate,bias,rmse,mae,total_time,backend,sign_precision,pearson_correlation,target,case_id,case_slug,case_title,setting_id,n,p_x,p_w,p_z,horizon,horizon_label,horizon_order,horizon_description,horizon_rule,horizon_quantile,gpu_requested,gpu_enabled
Revised Marginal,0.12020376932223786,0.04537191870953116,0.1563824764006181,0.0608434975654023,-0.0361787070783802,0.06428593068536075,0.05204842812833385,1.5446183681488037,RevisedBaselineCensoredSurvivalForest,1.0,0.5319087913256786,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S04,4000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.11663444191684028,0.0570964744626216,0.15443467440859246,0.06236479898527112,-0.037800232491752184,0.05885153421504974,0.04698053966637768,29.21532893180847,FinalCensoredModel,1.0,0.7181975205450158,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.1530629870521246,0.06861122305576339,0.15443467440859246,0.06236479898527112,-0.0013716873564678905,0.033180877596907764,0.026523858277218287,0.9908733367919922,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8761287864323849,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.12336537283988776,0.038029582995753125,0.15443467440859246,0.06236479898527112,-0.031069301568704712,0.05779437845934181,0.047483296197402255,2.8530092239379883,RevisedBaselineCensoredSurvivalForest,1.0,0.6241766543005204,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S05,8000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.12592594012322283,0.041716157192601064,0.16235313272701682,0.05623741282806299,-0.03642719260379398,0.056174521991355454,0.04506408811011584,59.3617377281189,FinalCensoredModel,1.0,0.6552080864527063,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S06,16000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.16174729240787292,0.05612111588675925,0.16235313272701682,0.05623741282806299,-0.0006058403191438901,0.023348560727045376,0.018154098395329853,1.6832563877105713,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.9136951265287896,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S06,16000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.12898870710596194,0.03422559196868678,0.16235313272701682,0.05623741282806299,-0.03336442562105488,0.058235766806581823,0.04740949917551366,5.181007623672485,RevisedBaselineCensoredSurvivalForest,1.0,0.5340456600593831,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S06,16000,5,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal,0.10277663234632066,0.022874285344324775,0.1637033040798569,0.05384408552315415,-0.060926671733536275,0.08994593628894311,0.07452948669388784,7.643391132354736,FinalCensoredModel,1.0,-0.38801508099934795,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Final Marginal Oracle,0.14560618556657182,0.031121120439795886,0.1637033040798569,0.05384408552315415,-0.01809711851328511,0.03834947120418926,0.03196789037265816,0.3738832473754883,SingleFileFinalOracleCensoredSurvivalForest,1.0,0.8129595128165612,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
Revised Marginal,0.11207860134839345,0.02536261448989798,0.1637033040798569,0.05384408552315415,-0.051624702731463475,0.07741265112693103,0.06342679362596008,0.9623942375183105,RevisedBaselineCensoredSurvivalForest,1.0,0.07865953559443924,RMST,1,linear_linear_informative_strong_beneficial_large,"Linear treatment / linear outcome DGP, informative proxies, strong confounding, beneficial treatment effect",S07,2000,2,1,1,1.5,RMST-H1,1,Paper fixed RMST horizon 1.5,paper_fixed_rmst,,off,False
