rank,name,avg_pred_cate,avg_true_cate,avg_rmse,avg_mae,avg_pearson_correlation,avg_bias,avg_sign_precision,avg_total_time
1,Final Model Oracle,0.08393091497308744,0.0833023176685517,0.04130502309237971,0.03370164712551188,0.5445027727321343,0.000628597304535748,0.9414268465909091,0.4606848413294012
2,Final Model,0.055604765462298464,0.0833023176685517,0.06587572022154306,0.05585256186695131,0.177641680160989,-0.027697552206253234,0.8266924715909091,18.93738213542736
3,R-CSF Baseline,0.04955165894348197,0.0833023176685517,0.07083360193694756,0.061593671248233145,0.07956533369777385,-0.033750658725069736,0.8008392518939393,8.343733483191693
4,Strict Baseline,0.05190751662653083,0.0833023176685517,0.07780329627169644,0.06644213584743276,0.0642906305668436,-0.03139480104202088,0.7803929924242424,6.569888526743108
5,Strict Baseline Oracle,0.05551219529818642,0.0833023176685517,0.08071954442269792,0.0678812908124978,0.06147738806138758,-0.027790122370365287,0.7819301609848485,7.390795620101871
