name,avg_rmse,avg_mae,avg_pearson,avg_bias,avg_sign_precision,avg_total_time
Final Conditional Dup Full,0.06649681053247758,0.056358917674637736,0.176680080362149,-0.02768476742109681,0.8179543087121213,16.317635257135738
Final Conditional BroadDup Raw-Only,0.06882656925713306,0.05852797255437277,0.08417307375395913,-0.027112652911166178,0.8284952651515152,20.482271112275846
Final Conditional Dup Raw-Only,0.0697785972867249,0.05940445724033431,0.07853327369264525,-0.027534046394635924,0.8156697443181818,16.299711269862723
