model_name,display_name,design,term,coef,se,tvalue,pvalue,ci_lower,ci_upper
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Constant,-51.99415309070889,245.95259191699637,-0.21139908583787473,0.8325758700209218,-534.052375152299,430.0640689708812
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Age,1.6056898030962299,1.5132814753274817,1.061064864187775,0.2886604241977365,-1.3602873870172725,4.571666993209732
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Weight,-0.9906714187860779,1.1639761543451101,-0.8511097199782938,0.39470840649938277,-3.272022760165929,1.290679922593773
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Karnofsky score,0.555140355829438,2.2372602303630553,0.24813401154471496,0.8040307209189229,-3.8298091197259354,4.940089831384811
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,CD4 count,-0.047299340205444365,0.14477350204771436,-0.3267126893832787,0.7438852017595436,-0.3310501901347003,0.23645150972381157
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,CD8 count,0.0241851316785962,0.04877188860437072,0.4958826153889976,0.6199772322700985,-0.07140601344396988,0.11977627680116229
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Gender,-2.138109994765213,50.862676768763045,-0.04203691450384534,0.9664692705951473,-101.82712461884287,97.55090462931244
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Homosexual activity,-5.497446972118373,42.56661667779559,-0.12914925829625676,0.8972395458610822,-88.92648260431973,77.931588660083
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Race,45.032745888314736,29.85963308314856,1.5081479991034854,0.13151665277370822,-13.491059546237132,103.5565513228666
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Symptomatic status,-5.34368767155318,34.07917766893827,-0.15680213071642646,0.8754007935572254,-72.13764852541387,61.4502731823075
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Intravenous drug use,41.1469492257567,41.57630351828255,0.9896731008725427,0.3223339268616785,-40.34110828038304,122.63500673189644
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Haemophilia,-24.208810087549594,59.11626044731464,-0.40951186533736983,0.6821640610508958,-140.07455146497597,91.6569312898768
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,Antiretroviral history,18.6501263213187,26.44434635229211,0.7052594937632923,0.48064876326183537,-33.179840123876986,70.48009276651439
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,CD4 count 20± 5 weeks,0.04385070665153429,0.12233234381416218,0.35845554237192484,0.7200024324242185,-0.19591628136859485,0.2836176946716634
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",All covariates,CD8 count 20± 5 weeks,-0.02645616354013892,0.04745032566532119,-0.5575549412819787,0.5771483322851672,-0.11945709289886504,0.06654476581858719
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",Age only,Constant,-49.936752121098095,51.66195734293257,-0.9666058873770008,0.3337410903417639,-151.1923278840905,51.318823641894326
final_conditional_x12_w2_z2,"Final Conditional (X=12 baseline, W=2 immune, Z=2 selection)",Age only,Age,1.5093518661742629,1.429519859789212,1.0558453286523928,0.2910388851229274,-1.2924555741973405,4.311159306545866
